"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion_2"
"10/09/2022 10:37:30:661 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","religion","threshold-mean","threshold-sd","tie-houses-to-religion","beta-eth","beta-rel","color-axis-max","dissimilarity-religion","turnover","always-search","always-move","ethn-rel-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"7","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.116","0.501","0.907","0.199","0.609","0.74"
"6","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.117","0.515","0.919","0.217","0.62","0.754"
"5","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.116","0.505","0.909","0.185","0.607","0.734"
"8","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.116","0.504","0.903","0.21","0.609","0.746"
"1","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.119","0.506","0.926","0.205","0.597","0.733"
"4","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.115","0.499","0.905","0.218","0.609","0.74"
"2","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.116","0.504","0.902","0.201","0.607","0.728"
"3","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.113","0.495","0.906","0.207","0.603","0.728"
"12","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.1","0.488","0.857","0.143","0.611","0.769"
"9","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.115","0.505","0.91","0.208","0.606","0.755"
"15","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.099","0.488","0.846","0.148","0.606","0.777"
"11","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.096","0.473","0.839","0.143","0.603","0.776"
"13","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.099","0.486","0.848","0.139","0.607","0.779"
