"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@SES.nlogo"
"experiment_ethnic-SES_2"
"10/09/2022 10:25:46:770 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8","9","9","9","9","9","9","10","10","10","10","10","10","11","11","11","11","11","11","12","12","12","12","12","12","13","13","13","13","13","13","14","14","14","14","14","14","15","15","15","15","15","15","16","16","16","16","16","16","17","17","17","17","17","17","18","18","18","18","18","18","19","19","19","19","19","19","20","20","20","20","20","20","21","21","21","21","21","21","22","22","22","22","22","22","23","23","23","23","23","23","24","24","24","24","24","24","25","25","25","25","25","25","26","26","26","26","26","26","27","27","27","27","27","27","28","28","28","28","28","28","29","29","29","29","29","29","30","30","30","30","30","30","31","31","31","31","31","31","32","32","32","32","32","32","33","33","33","33","33","33","34","34","34","34","34","34","35","35","35","35","35","35","36","36","36","36","36","36","37","37","37","37","37","37","38","38","38","38","38","38","39","39","39","39","39","39","40","40","40","40","40","40","41","41","41","41","41","41","42","42","42","42","42","42","43","43","43","43","43","43","44","44","44","44","44","44","45","45","45","45","45","45","46","46","46","46","46","46","47","47","47","47","47","47","48","48","48","48","48","48","49","49","49","49","49","49","50","50","50","50","50","50","51","51","51","51","51","51","52","52","52","52","52","52","53","53","53","53","53","53","54","54","54","54","54","54","55","55","55","55","55","55","56","56","56","56","56","56","57","57","57","57","57","57","58","58","58","58","58","58","59","59","59","59","59","59","60","60","60","60","60","60"
"town","Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,
"free-space","0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,
"scale-down-pop","100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,
"data-source","simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,
"measure","ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,
"ethnicity","CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,
"ses","LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,
"threshold-mean","0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,
"threshold-sd","0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,
"tie-houses-to-ses","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"beta-eth","8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,
"beta-ses","4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"4",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,,"12",,,,,
