"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion"
"10/10/2022 05:48:48:063 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","religion","threshold-mean","threshold-sd","tie-houses-to-religion","beta-eth","beta-rel","color-axis-max","dissimilarity-religion","turnover","always-search","always-move","ethn-rel-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"2","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.246","0.745","0.998","0.994","0.373","0.696"
"1","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.242","0.729","0.998","0.991","0.359","0.687"
"4","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.737","0.998","0.995","0.373","0.705"
"3","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.726","0.998","0.996","0.356","0.701"
"5","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.242","0.738","0.992","0.992","0.361","0.683"
"6","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.245","0.739","0.997","0.997","0.369","0.716"
"7","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.25","0.759","0.996","0.996","0.396","0.645"
"8","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.242","0.724","0.998","0.998","0.349","0.714"
"9","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.727","0.996","0.999","0.361","0.669"
"10","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","OTHER","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.247","0.744","0.998","0.999","0.372","0.71"
