"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@Religion.nlogo"
"experiment_ethnic-religion"
"10/09/2022 03:52:17:779 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","beta-eth","beta-rel","tie-houses-to-religion","free-space","religion","data-source","town","turnover","color-axis-max","neighbor-weight","others-ignore-ethn","ethn-rel-recommendations","ethnicity","always-search","dissimilarity-religion","threshold-mean","stop-tick","always-move","scale-down-pop","threshold-sd","measure","[step]","precision (sum [(ethnic-simpson - town-ethnic-simpson) * totalpop] of districts / sum [totalpop] of districts) 3","dissimilarity-string 0 dissimilarity-religion","dissimilarity-string 1 dissimilarity-religion","dissimilarity-string 2 dissimilarity-religion","dissimilarity-string 3 dissimilarity-religion","precision moran-I districts 3"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"3","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"5","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"7","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"6","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","0","0.018","0.241 (emp 0.241)","0.421 (emp 0.421)","0.034 (emp 0.034)","0.204 (emp 0.204)","0.674"
"1","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.023","0.257 (emp 0.241)","0.515 (emp 0.421)","0.089 (emp 0.034)","0.19 (emp 0.204)","0.706"
"2","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.022","0.252 (emp 0.241)","0.504 (emp 0.421)","0.086 (emp 0.034)","0.198 (emp 0.204)","0.693"
"8","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.023","0.261 (emp 0.241)","0.517 (emp 0.421)","0.096 (emp 0.034)","0.192 (emp 0.204)","0.682"
"4","8","0","true","0.05","OTHER","simulation (dynamic)","Jakarta","0","1","0.17","true","true","CHINESE","false","all","0.3","100","false","100","0.1","ethnicity fraction","1","0.023","0.257 (emp 0.241)","0.513 (emp 0.421)","0.084 (emp 0.034)","0.187 (emp 0.204)","0.695"
