"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@SES.nlogo"
"experiment_ethnic-SES"
"10/09/2022 20:36:08:575 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","ses","threshold-mean","threshold-sd","tie-houses-to-ses","beta-eth","beta-ses","color-axis-max","dissimilarity-ses","turnover","always-search","always-move","ethn-ses-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"2","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.247","0.755","0.99","0.996","0.388","0.669"
"1","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.726","0.998","0.998","0.356","0.69"
"4","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.726","0.996","0.997","0.349","0.669"
"3","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.734","0.997","0.995","0.363","0.693"
"5","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.244","0.736","0.997","0.992","0.359","0.681"
"6","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.73","0.996","0.996","0.355","0.717"
"8","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.72","0.999","0.999","0.338","0.679"
"7","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.718","0.997","0.997","0.344","0.668"
"11","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.235","0.842","0.955","0.925","0.611","0.734"
"12","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.227","0.826","0.954","0.896","0.582","0.721"
"9","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.241","0.716","0.997","0.996","0.323","0.69"
"10","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","0","1","all","0","false","false","true","0.17","true","1000","999","0.243","0.721","0.997","0.998","0.337","0.7"
"13","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.231","0.834","0.958","0.908","0.585","0.734"
"14","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.23","0.833","0.958","0.92","0.578","0.749"
"15","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.227","0.838","0.956","0.905","0.6","0.745"
"16","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.234","0.834","0.955","0.923","0.591","0.739"
"17","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.236","0.853","0.962","0.923","0.631","0.74"
"18","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.228","0.827","0.956","0.902","0.582","0.757"
"19","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","1000","999","0.229","0.841","0.954","0.901","0.603","0.765"
