"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@SES.nlogo"
"experiment_ethnic-SES_2"
"10/09/2022 09:58:55:574 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","town","free-space","scale-down-pop","data-source","measure","ethnicity","ses","threshold-mean","threshold-sd","tie-houses-to-ses","beta-eth","beta-ses","color-axis-max","dissimilarity-ses","turnover","always-search","always-move","ethn-ses-recommendations","neighbor-weight","others-ignore-ethn","stop-tick","[step]","simpson-index","EGJ","CHN","EGS","OTH","moranI"
"8","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.15","0.614","0.934","0.683","0.271","0.76"
"2","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.149","0.586","0.934","0.719","0.253","0.797"
"1","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.135","0.569","0.936","0.62","0.254","0.782"
"5","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.145","0.6","0.931","0.659","0.26","0.786"
"7","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.146","0.603","0.929","0.684","0.278","0.779"
"4","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.148","0.604","0.937","0.664","0.258","0.775"
"6","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.142","0.576","0.938","0.664","0.237","0.769"
"3","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.145","0.584","0.943","0.673","0.249","0.772"
"11","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.093","0.575","0.724","0.585","0.265","0.761"
"13","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.092","0.569","0.721","0.578","0.263","0.735"
"12","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.091","0.56","0.727","0.556","0.253","0.752"
"14","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.092","0.579","0.721","0.588","0.253","0.754"
"16","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.086","0.561","0.7","0.565","0.254","0.73"
"15","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.09","0.56","0.698","0.543","0.261","0.752"
"9","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.15","0.611","0.932","0.713","0.273","0.788"
"10","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","4","1","all","0","false","false","true","0.17","true","100","99","0.145","0.572","0.934","0.685","0.236","0.784"
"17","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.088","0.564","0.711","0.55","0.26","0.732"
"19","Jakarta","0.05","100","simulation (dynamic)","ethnicity fraction","CHINESE","LOW","0.3","0.1","false","8","8","1","all","0","false","false","true","0.17","true","100","99","0.091","0.564","0.702","0.573","0.255","0.749"
