"BehaviorSpace results (NetLogo 6.3.0)"
"Schelling_on_GIS-@SES.nlogo"
"experiment_ethnic-SES_2"
"10/09/2022 09:57:14:132 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","1","1","1","1","1","1","2","2","2","2","2","2","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","6","6","6","6","6","6","7","7","7","7","7","7","8","8","8","8","8","8"
"town","Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,,"Jakarta",,,,,
"free-space","0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,,"0.05",,,,,
"scale-down-pop","100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,
"data-source","simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,,"simulation (dynamic)",,,,,
"measure","ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,,"ethnicity fraction",,,,,
"ethnicity","CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,,"CHINESE",,,,,
"ses","LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,,"LOW",,,,,
"threshold-mean","0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,,"0.3",,,,,
"threshold-sd","0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,,"0.1",,,,,
"tie-houses-to-ses","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"beta-eth","8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,
"beta-ses","8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,,"8",,,,,
"color-axis-max","1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,,"1",,,,,
"dissimilarity-ses","all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,,"all",,,,,
"turnover","0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,,"0",,,,,
"always-search","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"always-move","false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,,"false",,,,,
"ethn-ses-recommendations","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"neighbor-weight","0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,,"0.17",,,,,
"others-ignore-ethn","true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,,"true",,,,,
"stop-tick","100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,,"100",,,,,
"[steps]","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"

"[initial & final values]","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI","simpson-index","EGJ","CHN","EGS","OTH","moranI"
,"0.092","0.571","0.715","0.574","0.268","0.751","0.099","0.594","0.747","0.6","0.259","0.749","0.09","0.577","0.702","0.592","0.269","0.737","0.099","0.587","0.703","0.612","0.283","0.752","0.086","0.547","0.701","0.543","0.256","0.714","0.087","0.559","0.716","0.54","0.251","0.73","0.089","0.572","0.716","0.561","0.269","0.729","0.09","0.565","0.718","0.556","0.257","0.779"
