"search-number","evaluation","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.4891837686916777","10","0.5072767421238336"
"2","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.4878297146674013","10","0.4944188010105758"
"3","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","0.4907222844231386","10","0.5050197682139748"
"4","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.48534117440442487","10","0.49315308344417125"
"5","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.48593052212987126","10","0.49896612999229006"
"6","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.4864828665216213","10","0.49604248120152034"
"7","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","0.48254383964735004","10","0.503220942471032"
"8","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","0.48714913659624887","10","0.49243458215076236"
"9","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.4868204725588212","10","0.506509911621914"
"10","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.47912772007584736","10","0.5006472937062374"
"11","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.4851678189941403","10","0.5084533696053258"
"12","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.4864379232640249","10","0.5095731179231057"
"13","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.4891726986493243","10","0.49997038192992027"
"14","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","0.4852716800520767","10","0.5056764010244701"
"15","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","0.4811340587186546","10","0.490271875408947"
