"search-number","evaluation","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","10","-7.264786399003746","10","-3.8651477898973745"
"1","30","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-7.307236633569226","10","-5.600650143913688"
"1","80","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-105.6322105273788","10","-10.633709528525548"
"2","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-3.123129177519275","10","-16.46593935224814"
"2","30","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-4.431380805162608","10","-0.9597111462203157"
"2","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-16.557638092007224","10","-8.335067228569507"
"2","60","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-18.828940168715732","10","-140.4626645781562"
"3","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-1.5195674390277802","10","-44.615439506169864"
"3","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-5.599944532089835","10","-0.7288099454325131"
"3","40","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-6.12996194575707","10","-1.3847826181415344"
"3","60","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","10","-6.678084228752696","10","-6.712098424459374"
"3","80","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-45.135547301275984","10","-7.949134546999932"
"4","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-762.8143770762723","10","-1.1625220800646061"
"5","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","-12.137596039704173","10","-1.8808250045398134"
"5","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-23.8596228537021","10","-4.063638459695589"
"6","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-2.1684698336111565","10","-0.5661577654258807"
"6","40","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-20.08932637053098","10","-17.141432569841758"
"6","70","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-121.60169945015802","10","-6.646852460196574"
"7","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-14.674307078278053","10","-12.60560506119992"
"7","30","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-20.48365127873864","10","-4.657247806625872"
"7","70","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-792.2464080257312","10","-0.8415951802606402"
"8","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-4.042516613642006","10","-0.35353390889543984"
"8","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-6.899383234831875","10","-1.3712767799804144"
"8","40","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-11.20780357785978","10","-6.506247322620695"
"8","60","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-15.591958543226331","10","-8.867898659725613"
"8","70","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","10","-38.93830493112721","10","-0.493428757812624"
"9","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-8.134773576677775","10","-25.908662397448595"
"9","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","-9.658549086442687","10","-1.9462542983285454"
"9","70","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-12.865003572494379","10","-165.0068267023478"
"10","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-5.514211973904157","10","-16.324606093221785"
"10","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-5.6491627233303685","10","-6.704334226256157"
"10","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-6.640953164605329","10","-1.6041146968870237"
"10","70","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-16.433674393896275","10","-1.2681346992710318"
"11","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-1.365375616012958","10","-2.2825927999773534"
"11","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-3.44700721153675","10","-0.37115032417259625"
"11","60","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","-3.677448944015631","10","-10.254861382340104"
"11","80","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-6.011535279199103","10","-10.396012911952557"
"12","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-41.032119137173126","10","-32.36465833774551"
"13","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","8","0.17","true","1000","false","true","""all""","10","-1.554135686395563","10","-7.777390434354795"
"13","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-22.184886025964996","10","-4.960859754048699"
"14","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","-3.6288731145905007","10","-4.330665848687337"
"14","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","10","-9.312719171731844","10","-2.599677080572291"
"15","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-3.6244435221707763","10","-4.536865971113064"
"15","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-16.16851751226929","10","-0.9341465034586467"
"15","40","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-69.04021940015572","10","-1.843745625787772"
"16","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","0","0.17","true","1000","false","true","""all""","10","-1.2153132283159713","10","-2.0963086873593526"
"16","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","-5.364458500341729","10","-21.0947087172742"
"16","50","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-7.941706096316028","10","-3.1151058929423368"
"16","70","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","28","0.17","true","1000","false","true","""all""","10","-12.137887257658283","10","-2.977513640602964"
"17","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","-7.27485272024282","10","-2.3906607364600267"
"17","30","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-8.460767629784819","10","-5.3713140930618195"
