"search-number","evaluation","evals-requested-so-far","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","1","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-659016133""","0.3565499457885452","0.3565499457885452","0.3565499457885452","0","0.3565499457885452"
"1","2","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""1764541839""","-0.075088350358378","-0.075088350358378","-0.075088350358378","0","-0.075088350358378"
"1","3","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-2034286815""","-1.1489131847592775","-1.1489131847592775","-1.1489131847592775","0","-1.1489131847592775"
"1","4","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-1744085832""","-2.0178586302245467","-2.0178586302245467","-2.0178586302245467","0","-2.0178586302245467"
"1","5","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""1157069558""","-0.9311398232006786","-0.9311398232006786","-0.9311398232006786","0","-0.9311398232006786"
"1","6","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-1838766375""","-14.051791117739805","-14.051791117739805","-14.051791117739805","0","-14.051791117739805"
"1","7","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-1875223765""","0.37987751534905556","0.37987751534905556","0.37987751534905556","0","0.37987751534905556"
"1","8","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""227256001""","-10.397407715045343","-10.397407715045343","-10.397407715045343","0","-10.397407715045343"
"1","9","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-1195216176""","-0.42273241011757023","-0.42273241011757023","-0.42273241011757023","0","-0.42273241011757023"
"1","10","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","""-2069097747""","0.7204791035908925","0.7204791035908925","0.7204791035908925","0","0.7204791035908925"
