"search-number","evaluation","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","0.006564366875301139","1","0.008368433050126349"
"2","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","-0.0031756388973859587","1","0.02309275058856246"
"3","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.033641858026413896","1","-0.025038839128024428"
"4","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","-0.008229880576674342","1","0.10960074814482204"
"5","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","20","0.17","true","1000","false","true","""all""","10","0.008114255162455562","1","0.037719653482519044"
"6","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","0.019711748952384076","1","-0.0056828854239296634"
"7","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.022996593951893133","1","-0.012225241499772024"
"8","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","24","0.17","true","1000","false","true","""all""","10","0.015818723125125222","1","-0.026933320546030547"
"9","160","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.015398979134218949","1","0.04676081926522807"
"10","160","100","""Jakarta""","0.05","false","false","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.012038357398141923","1","0.03355186494009195"
