"search-number","evaluation","scale-down-pop*","town*","free-space*","always-search*","tie-houses-to-religion*","data-source*","threshold-sd*","ethnicity*","religion*","measure*","threshold-mean*","color-axis-max*","turnover*","beta-eth*","beta-rel*","neighbor-weight*","others-ignore-ethn*","stop-tick*","always-move*","ethn-rel-recommendations*","dissimilarity-religion*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","4","4","0.17","true","1000","false","true","""all""","10","0.49690213080038514","10","0.5040378697025549"
"1","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","4","4","0.17","true","1000","false","true","""all""","10","0.4952632678117962","10","0.4968475644989686"
"1","30","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","24","16","0.17","true","1000","false","true","""all""","10","0.49447332560517954","10","0.50233466343086"
"1","80","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.4869550483774459","10","0.49585946370030937"
"1","130","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","4","16","0.17","true","1000","false","true","""all""","10","0.48634735049797734","10","0.4887569979736347"
"2","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","0.5011236530123337","10","0.49081709517937905"
"2","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","28","4","0.17","true","1000","false","true","""all""","10","0.4853523240733396","10","0.50217467652623"
"2","260","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","4","20","0.17","true","1000","false","true","""all""","10","0.4844789363759194","10","0.5020200490350614"
"2","580","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","24","8","0.17","true","1000","false","true","""all""","10","0.4832710470950186","10","0.5018247966926874"
"3","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","12","0.17","true","1000","false","true","""all""","10","0.5094188857986135","10","0.5050894504009932"
"3","20","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","16","0.17","true","1000","false","true","""all""","10","0.4989881193383307","10","0.5065537778653157"
"3","30","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","8","4","0.17","true","1000","false","true","""all""","10","0.4920094717722672","10","0.5003888757828916"
"3","260","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","24","16","0.17","true","1000","false","true","""all""","10","0.48868821287283487","10","0.4934756609602583"
"3","530","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","20","28","0.17","true","1000","false","true","""all""","10","0.4871391473728286","10","0.5033630037802843"
"4","10","100","""Jakarta""","0.05","false","true","""simulation (dynamic)""","0.1","""CHINESE""","""OTHER""","""ethnicity fraction""","0.3","1","0","16","4","0.17","true","1000","false","true","""all""","10","0.48396538077160356","10","0.4922688801818687"
